Datum;Eroeffnung;Hoch;Tief;Schluss;Performance;Volumen;Abstand Hoch/Tief
15.06.71;511.40;511.40;511.40;511.40;-0.60 %;0;0.00
16.06.71;513.92;513.92;513.92;513.92;+0.49 %;0;0.00
18.06.71;511.21;511.21;511.21;511.21;-0.53 %;0;0.00
21.06.71;505.18;505.18;505.18;505.18;-1.18 %;0;0.00
22.06.71;503.25;503.25;503.25;503.25;-0.38 %;0;0.00
23.06.71;503.03;503.03;503.03;503.03;-0.04 %;0;0.00
24.06.71;499.53;499.53;499.53;499.53;-0.70 %;0;0.00
28.06.71;501.80;501.80;501.80;501.80;+0.45 %;0;0.00
29.06.71;507.08;507.08;507.08;507.08;+1.05 %;0;0.00
30.06.71;506.15;506.15;506.15;506.15;-0.18 %;0;0.00
01.07.71;508.64;508.64;508.64;508.64;+0.49 %;0;0.00
02.07.71;511.73;511.73;511.73;511.73;+0.61 %;0;0.00
05.07.71;512.96;512.96;512.96;512.96;+0.24 %;0;0.00
06.07.71;510.02;510.02;510.02;510.02;-0.57 %;0;0.00
07.07.71;511.51;511.51;511.51;511.51;+0.29 %;0;0.00
08.07.71;513.81;513.81;513.81;513.81;+0.45 %;0;0.00
09.07.71;515.19;515.19;515.19;515.19;+0.27 %;0;0.00
12.07.71;517.98;517.98;517.98;517.98;+0.54 %;0;0.00
13.07.71;516.97;516.97;516.97;516.97;-0.19 %;0;0.00
14.07.71;513.85;513.85;513.85;513.85;-0.60 %;0;0.00
15.07.71;515.45;515.45;515.45;515.45;+0.31 %;0;0.00
16.07.71;516.71;516.71;516.71;516.71;+0.24 %;0;0.00
19.07.71;514.85;514.85;514.85;514.85;-0.36 %;0;0.00
20.07.71;514.97;514.97;514.97;514.97;+0.02 %;0;0.00
21.07.71;516.27;516.27;516.27;516.27;+0.25 %;0;0.00
22.07.71;517.20;517.20;517.20;517.20;+0.18 %;0;0.00
23.07.71;514.97;514.97;514.97;514.97;-0.43 %;0;0.00
26.07.71;516.34;516.34;516.34;516.34;+0.27 %;0;0.00
27.07.71;516.42;516.42;516.42;516.42;+0.02 %;0;0.00
28.07.71;517.64;517.64;517.64;517.64;+0.24 %;0;0.00
29.07.71;521.99;521.99;521.99;521.99;+0.84 %;0;0.00
30.07.71;523.71;523.71;523.71;523.71;+0.33 %;0;0.00
02.08.71;521.59;521.59;521.59;521.59;-0.40 %;0;0.00
03.08.71;524.71;524.71;524.71;524.71;+0.60 %;0;0.00
04.08.71;526.35;526.35;526.35;526.35;+0.31 %;0;0.00
